show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s16,Movie,Movie Title 16,Ava DuVernay,"Actor A, Actor B, Actor C",Australia,"March 3, 2018",1969,TV-MA,61 min,"Music & Musicals, Documentaries, Horror Movies",Description for Movie Title 16.
s17,Movie,Movie Title 17,Bong Joon-ho,"Actor A, Actor B, Actor C",,"June 8, 2019",1990,R,119 min,Independent Movies,Description for Movie Title 17.
s18,Movie,Movie Title 18,,"Actor A, Actor B, Actor C",,"February 8, 2017",1980,TV-PG,145 min,Romantic Movies,Description for Movie Title 18.
s19,Movie,Movie Title 19,Ryan Coogler,"Actor A, Actor B, Actor C",Australia,"September 5, 2014",1978,NR,73 min,"Documentaries, Sci-Fi & Fantasy, Thrillers",Description for Movie Title 19.
s20,Movie,Movie Title 20,,"Actor A, Actor B, Actor C",,"March 21, 2016",1967,TV-PG,99 min,Sci-Fi & Fantasy,Description for Movie Title 20.
s21,TV Show,Show Title 21,Alfonso Cuarón,"Actor A, Actor B, Actor C",United Kingdom,"March 2, 2014",2007,TV-Y,2 Seasons,Teen TV Shows,Description for Show Title 21.
s22,TV Show,Show Title 22,Ava DuVernay,"Actor A, Actor B, Actor C",Canada,,1989,TV-Y7,8 Seasons,"Teen TV Shows, Kids' TV, TV Mysteries",Description for Show Title 22.
s23,TV Show,Show Title 23,Jordan Peele,"Actor A, Actor B, Actor C",Mexico,"May 27, 2018",2016,TV-14,1 Season,Crime TV Shows,Description for Show Title 23.
s24,Movie,Movie Title 24,Alfonso Cuarón,"Actor A, Actor B, Actor C",United Kingdom,"January 4, 2016",2017,PG-13,174 min,"Action & Adventure, Stand-Up Comedy",Description for Movie Title 24.
s25,Movie,Movie Title 25,David Fincher,"Actor A, Actor B, Actor C",Egypt,"January 23, 2015",2018,TV-MA,124 min,"Sports Movies, Anime Features, Children & Family Movies",Description for Movie Title 25.
s26,Movie,Movie Title 26,Guillermo del Toro,"Actor A, Actor B, Actor C",United States,"May 22, 2016",2012,PG-13,109 min,"Sci-Fi & Fantasy, International Movies",Description for Movie Title 26.
s27,Movie,Movie Title 27,Martin Scorsese,"Actor A, Actor B, Actor C","United Kingdom, Mexico","October 21, 2020",1987,R,74 min,"Romantic Movies, Independent Movies",Description for Movie Title 27.
s28,Movie,Movie Title 28,James Cameron,"Actor A, Actor B, Actor C",United States,,1989,TV-14,115 min,Romantic Movies,Description for Movie Title 28.
s29,Movie,Movie Title 29,Christopher Nolan,"Actor A, Actor B, Actor C",India,"February 25, 2009",2010,R,173 min,Anime Features,Description for Movie Title 29.
s30,Movie,Movie Title 30,Ridley Scott,"Actor A, Actor B, Actor C",India,"August 20, 2016",2006,PG-13,99 min,"Horror Movies, Music & Musicals, Children & Family Movies",Description for Movie Title 30.
s31,Movie,Movie Title 31,Guillermo del Toro,"Actor A, Actor B, Actor C",France,"December 10, 2017",1989,PG-13,55 min,"Thrillers, Children & Family Movies",Description for Movie Title 31.
s32,Movie,Movie Title 32,Guillermo del Toro,"Actor A, Actor B, Actor C",United Kingdom,,1986,PG-13,168 min,"Horror Movies, Romantic Movies, Dramas",Description for Movie Title 32.
s33,TV Show,Show Title 33,James Cameron,"Actor A, Actor B, Actor C",United Kingdom,,1988,TV-Y,5 Seasons,"British TV Shows, Teen TV Shows",Description for Show Title 33.
s34,TV Show,Show Title 34,Guillermo del Toro,"Actor A, Actor B, Actor C",Japan,"August 6, 2017",1974,TV-MA,2 Seasons,"Kids' TV, Crime TV Shows",Description for Show Title 34.
s35,TV Show,Show Title 35,Steven Spielberg,"Actor A, Actor B, Actor C",India,"April 21, 2021",1968,TV-14,9 Seasons,"International TV Shows, TV Mysteries, Teen TV Shows",Description for Show Title 35.
s36,Movie,Movie Title 36,Steven Spielberg,"Actor A, Actor B, Actor C",Italy,"October 20, 2017",1990,PG,175 min,"Comedies, Anime Features, Action & Adventure",Description for Movie Title 36.
s37,Movie,Movie Title 37,,"Actor A, Actor B, Actor C",Italy,"April 4, 2020",2008,PG-13,114 min,"Music & Musicals, Independent Movies",Description for Movie Title 37.
s38,Movie,Movie Title 38,,"Actor A, Actor B, Actor C",United Kingdom,"February 14, 2020",2017,R,127 min,"Sports Movies, Music & Musicals, Romantic Movies",Description for Movie Title 38.
s39,Movie,Movie Title 39,Guillermo del Toro,"Actor A, Actor B, Actor C",India,"April 27, 2016",2013,R,78 min,"Sports Movies, Romantic Movies",Description for Movie Title 39.
s40,Movie,Movie Title 40,,"Actor A, Actor B, Actor C",India,,1992,R,78 min,Comedies,Description for Movie Title 40.
s41,Movie,Movie Title 41,Denis Villeneuve,"Actor A, Actor B, Actor C","France, Spain","November 19, 2015",1999,R,193 min,"Children & Family Movies, Thrillers, Horror Movies",Description for Movie Title 41.
s42,Movie,Movie Title 42,Greta Gerwig,"Actor A, Actor B, Actor C",United States,"March 7, 2020",2005,TV-14,113 min,"International Movies, Sci-Fi & Fantasy",Description for Movie Title 42.
s43,Movie,Movie Title 43,Steven Spielberg,"Actor A, Actor B, Actor C",United States,"January 18, 2012",1979,R,151 min,Independent Movies,Description for Movie Title 43.
s44,Movie,Movie Title 44,Greta Gerwig,"Actor A, Actor B, Actor C",United States,"July 16, 2020",2003,R,66 min,"Independent Movies, Dramas, Action & Adventure",Description for Movie Title 44.
s45,Movie,Movie Title 45,Alfonso Cuarón,"Actor A, Actor B, Actor C",Japan,"August 10, 2017",2014,R,116 min,"International Movies, Stand-Up Comedy",Description for Movie Title 45.
s46,Movie,Movie Title 46,James Cameron,"Actor A, Actor B, Actor C",United States,"August 23, 2008",1972,PG-13,83 min,"Dramas, Documentaries",Description for Movie Title 46.
s47,TV Show,Show Title 47,Greta Gerwig,"Actor A, Actor B, Actor C",Japan,"April 21, 2014",1986,TV-14,1 Season,"Talk Shows & Variety, TV Comedies",Description for Show Title 47.
s48,Movie,Movie Title 48,Bong Joon-ho,"Actor A, Actor B, Actor C",India,"September 16, 2016",1999,PG-13,87 min,"Dramas, Horror Movies, Sci-Fi & Fantasy",Description for Movie Title 48.
s49,Movie,Movie Title 49,Ridley Scott,"Actor A, Actor B, Actor C",United States,"March 16, 2019",2016,R,70 min,"Sports Movies, International Movies",Description for Movie Title 49.
s50,Movie,Movie Title 50,Guillermo del Toro,,United States,"November 13, 2018",1999,PG-13,86 min,"Dramas, Romantic Movies, Comedies",Description for Movie Title 50.
s51,TV Show,Show Title 51,James Cameron,,"India, Argentina","November 15, 2020",1997,NR,3 Seasons,Docuseries,Description for Show Title 51.
s52,Movie,Movie Title 52,Quentin Tarantino,"Actor A, Actor B, Actor C",Spain,"July 3, 2010",1994,NR,169 min,Romantic Movies,Description for Movie Title 52.
s53,Movie,Movie Title 53,Spike Lee,"Actor A, Actor B, Actor C",Germany,"July 7, 2018",1989,TV-14,82 min,"Sci-Fi & Fantasy, Action & Adventure, Comedies",Description for Movie Title 53.
s54,Movie,Movie Title 54,Jordan Peele,"Actor A, Actor B, Actor C",Canada,"March 15, 2019",2007,R,134 min,"Thrillers, Children & Family Movies",Description for Movie Title 54.
s55,Movie,Movie Title 55,Jordan Peele,"Actor A, Actor B, Actor C",Germany,"July 13, 2018",1994,TV-MA,62 min,"Action & Adventure, Romantic Movies, Dramas",Description for Movie Title 55.
s56,Movie,Movie Title 56,Jordan Peele,"Actor A, Actor B, Actor C",India,"March 3, 2019",1999,NR,125 min,"Thrillers, Stand-Up Comedy",Description for Movie Title 56.
s57,Movie,Movie Title 57,Alfonso Cuarón,"Actor A, Actor B, Actor C",Canada,"February 8, 2011",2018,TV-MA,57 min,"Documentaries, Sci-Fi & Fantasy",Description for Movie Title 57.
s58,Movie,Movie Title 58,Guillermo del Toro,"Actor A, Actor B, Actor C",France,"September 14, 2014",1997,R,69 min,Action & Adventure,Description for Movie Title 58.
s59,Movie,Movie Title 59,,"Actor A, Actor B, Actor C",India,"August 10, 2009",1990,R,99 min,Comedies,Description for Movie Title 59.
s60,Movie,Movie Title 60,Guillermo del Toro,"Actor A, Actor B, Actor C",United States,"July 19, 2014",2017,TV-14,44 min,"Sci-Fi & Fantasy, International Movies",Description for Movie Title 60.
s61,TV Show,Show Title 61,Quentin Tarantino,"Actor A, Actor B, Actor C",United States,"May 25, 2021",2003,TV-MA,3 Seasons,"TV Mysteries, Kids' TV, Crime TV Shows",Description for Show Title 61.
s62,Movie,Movie Title 62,Denis Villeneuve,"Actor A, Actor B, Actor C",India,"May 11, 2013",2013,R,63 min,Documentaries,Description for Movie Title 62.
s63,Movie,Movie Title 63,Guillermo del Toro,"Actor A, Actor B, Actor C",Spain,"June 26, 2020",2015,PG-13,133 min,Action & Adventure,Description for Movie Title 63.
s64,TV Show,Show Title 64,,"Actor A, Actor B, Actor C",United States,"November 9, 2019",2002,TV-G,1 Season,"Kids' TV, TV Dramas, British TV Shows",Description for Show Title 64.
s65,Movie,Movie Title 65,Guillermo del Toro,"Actor A, Actor B, Actor C",India,"January 2, 2014",2010,R,77 min,"Comedies, Sports Movies",Description for Movie Title 65.
s66,TV Show,Show Title 66,James Cameron,"Actor A, Actor B, Actor C",India,"February 27, 2017",1982,TV-14,4 Seasons,"Docuseries, International TV Shows",Description for Show Title 66.
s67,Movie,Movie Title 67,Steven Spielberg,"Actor A, Actor B, Actor C",United Kingdom,"April 4, 2017",1997,NR,74 min,"Comedies, Independent Movies",Description for Movie Title 67.
s68,TV Show,Show Title 68,Martin Scorsese,"Actor A, Actor B, Actor C",United States,"April 11, 2019",2006,TV-MA,13 Seasons,"International TV Shows, Docuseries, TV Comedies",Description for Show Title 68.
s69,Movie,Movie Title 69,Denis Villeneuve,"Actor A, Actor B, Actor C",France,"March 24, 2016",1959,R,52 min,Sci-Fi & Fantasy,Description for Movie Title 69.
s70,TV Show,Show Title 70,Alfonso Cuarón,"Actor A, Actor B, Actor C",United States,"August 21, 2018",2017,TV-MA,6 Seasons,Reality TV,Description for Show Title 70.
s71,Movie,Movie Title 71,Alfonso Cuarón,"Actor A, Actor B, Actor C","Japan, Germany","December 11, 2019",2009,R,105 min,"Children & Family Movies, International Movies, Romantic Movies",Description for Movie Title 71.
s72,TV Show,Show Title 72,Denis Villeneuve,"Actor A, Actor B, Actor C",United States,"August 13, 2016",1988,TV-MA,2 Seasons,Kids' TV,Description for Show Title 72.
s73,Movie,Movie Title 73,Spike Lee,"Actor A, Actor B, Actor C",United States,"March 18, 2017",2013,R,62 min,"Children & Family Movies, Thrillers, Independent Movies",Description for Movie Title 73.
s74,Movie,Movie Title 74,Spike Lee,"Actor A, Actor B, Actor C",United States,"April 28, 2019",1987,PG-13,82 min,"Thrillers, Comedies, Anime Features",Description for Movie Title 74.
s75,Movie,Movie Title 75,Bong Joon-ho,,"Japan, Germany","May 11, 2016",1963,NR,65 min,Music & Musicals,Description for Movie Title 75.
s76,TV Show,Show Title 76,Christopher Nolan,"Actor A, Actor B, Actor C",United States,"December 11, 2017",1995,TV-Y7,1 Season,"TV Thrillers, TV Dramas, International TV Shows",Description for Show Title 76.
s77,Movie,Movie Title 77,Guillermo del Toro,"Actor A, Actor B, Actor C",India,"July 4, 2014",2014,PG,122 min,"Stand-Up Comedy, Romantic Movies, Children & Family Movies",Description for Movie Title 77.
s78,TV Show,Show Title 78,,"Actor A, Actor B, Actor C",France,"August 24, 2014",1992,TV-14,3 Seasons,Anime Series,Description for Show Title 78.
s79,TV Show,Show Title 79,Martin Scorsese,"Actor A, Actor B, Actor C","United States, United Kingdom","October 13, 2019",2017,UR,2 Seasons,"Docuseries, TV Dramas",Description for Show Title 79.
s80,TV Show,Show Title 80,Bong Joon-ho,"Actor A, Actor B, Actor C",United States,"September 3, 2019",1989,TV-Y7,1 Season,"Korean TV Shows, Kids' TV",Description for Show Title 80.
s81,TV Show,Show Title 81,Bong Joon-ho,"Actor A, Actor B, Actor C",United States,"April 4, 2020",2016,TV-Y7,3 Seasons,TV Comedies,Description for Show Title 81.
s82,TV Show,Show Title 82,Greta Gerwig,"Actor A, Actor B, Actor C",France,"November 20, 2019",2019,TV-MA,1 Season,"Kids' TV, TV Comedies, Reality TV",Description for Show Title 82.
s83,Movie,Movie Title 83,Christopher Nolan,"Actor A, Actor B, Actor C","India, Australia","February 20, 2013",2016,TV-14,109 min,"Romantic Movies, Stand-Up Comedy",Description for Movie Title 83.
s84,Movie,Movie Title 84,,"Actor A, Actor B, Actor C",India,"June 23, 2013",1970,UR,127 min,"Action & Adventure, Dramas, Documentaries",Description for Movie Title 84.
s85,Movie,Movie Title 85,Quentin Tarantino,"Actor A, Actor B, Actor C",India,"November 11, 2020",2008,PG-13,123 min,Children & Family Movies,Description for Movie Title 85.
s86,Movie,Movie Title 86,,"Actor A, Actor B, Actor C",Turkey,"February 10, 2019",1998,TV-14,122 min,"Anime Features, Thrillers, Action & Adventure",Description for Movie Title 86.
s87,Movie,Movie Title 87,,"Actor A, Actor B, Actor C",United States,"April 8, 2020",1996,TV-14,84 min,Comedies,Description for Movie Title 87.
s88,Movie,Movie Title 88,Ava DuVernay,"Actor A, Actor B, Actor C",United States,"March 6, 2017",1979,R,98 min,"Anime Features, Action & Adventure, Sci-Fi & Fantasy",Description for Movie Title 88.
s89,TV Show,Show Title 89,,"Actor A, Actor B, Actor C",United States,"April 12, 2020",2020,TV-MA,1 Season,"Reality TV, Teen TV Shows, TV Mysteries",Description for Show Title 89.
s90,Movie,Movie Title 90,James Cameron,"Actor A, Actor B, Actor C","Mexico, Egypt","February 23, 2018",2018,PG-13,56 min,International Movies,Description for Movie Title 90.
s91,TV Show,Show Title 91,Steven Spielberg,"Actor A, Actor B, Actor C",United States,"January 13, 2011",1996,TV-MA,14 Seasons,Anime Series,Description for Show Title 91.
s92,Movie,Movie Title 92,Quentin Tarantino,"Actor A, Actor B, Actor C","United States, Egypt","December 16, 2014",2012,PG-13,55 min,Sports Movies,Description for Movie Title 92.
s93,Movie,Movie Title 93,Ava DuVernay,,United States,"October 15, 2017",1968,R,43 min,"Stand-Up Comedy, Children & Family Movies",Description for Movie Title 93.
s94,Movie,Movie Title 94,Ridley Scott,"Actor A, Actor B, Actor C",,"June 3, 2018",2011,R,109 min,"Children & Family Movies, Anime Features, Sports Movies",Description for Movie Title 94.
s95,TV Show,Show Title 95,Martin Scorsese,"Actor A, Actor B, Actor C","India, Spain","October 24, 2019",2013,TV-MA,2 Seasons,International TV Shows,Description for Show Title 95.
s96,Movie,Movie Title 96,,"Actor A, Actor B, Actor C",United States,"January 10, 2021",2012,TV-MA,48 min,Sports Movies,Description for Movie Title 96.
s97,Movie,Movie Title 97,Guillermo del Toro,"Actor A, Actor B, Actor C",Japan,"November 11, 2012",2017,TV-MA,131 min,"Horror Movies, Sports Movies",Description for Movie Title 97.
s98,Movie,Movie Title 98,Jordan Peele,"Actor A, Actor B, Actor C",France,"July 20, 2017",1973,PG,84 min,Children & Family Movies,Description for Movie Title 98.
s99,Movie,Movie Title 99,Guillermo del Toro,"Actor A, Actor B, Actor C",South Korea,"June 20, 2021",1966,PG,169 min,"Independent Movies, Anime Features",Description for Movie Title 99.
s100,TV Show,Show Title 100,Quentin Tarantino,"Actor A, Actor B, Actor C",United States,"February 8, 2011",2015,TV-G,9 Seasons,"Kids' TV, Anime Series",Description for Show Title 100.
s101,TV Show,Show Title 101,Alfonso Cuarón,"Actor A, Actor B, Actor C",United Kingdom,,1999,NR,3 Seasons,Reality TV,Description for Show Title 101.
s102,TV Show,Show Title 102,Jordan Peele,"Actor A, Actor B, Actor C",United States,"February 15, 2014",2003,TV-Y7,4 Seasons,"Reality TV, TV Dramas, TV Mysteries",Description for Show Title 102.
s103,Movie,Movie Title 103,Ava DuVernay,"Actor A, Actor B, Actor C",United States,"March 26, 2020",2012,TV-14,184 min,Comedies,Description for Movie Title 103.
s104,Movie,Movie Title 104,Bong Joon-ho,"Actor A, Actor B, Actor C",Spain,"May 13, 2013",2008,TV-14,135 min,"Romantic Movies, Children & Family Movies, Horror Movies",Description for Movie Title 104.
s105,Movie,Movie Title 105,Alfonso Cuarón,"Actor A, Actor B, Actor C",United Kingdom,"October 6, 2018",2016,TV-MA,104 min,Horror Movies,Description for Movie Title 105.
s106,TV Show,Show Title 106,,"Actor A, Actor B, Actor C",United States,"February 9, 2016",2004,TV-MA,2 Seasons,"Docuseries, TV Comedies, British TV Shows",Description for Show Title 106.
s107,Movie,Movie Title 107,Ryan Coogler,"Actor A, Actor B, Actor C",Japan,"January 27, 2021",1995,TV-14,170 min,Dramas,Description for Movie Title 107.
s108,Movie,Movie Title 108,James Cameron,"Actor A, Actor B, Actor C",India,"August 8, 2021",1992,PG,54 min,"Horror Movies, International Movies, Romantic Movies",Description for Movie Title 108.
s109,Movie,Movie Title 109,James Cameron,"Actor A, Actor B, Actor C",Mexico,"July 5, 2017",2021,PG-13,78 min,"Children & Family Movies, Comedies, Thrillers",Description for Movie Title 109.
s110,Movie,Movie Title 110,James Cameron,,Japan,"June 19, 2014",2017,UR,67 min,Anime Features,Description for Movie Title 110.
s111,TV Show,Show Title 111,Spike Lee,"Actor A, Actor B, Actor C",United Kingdom,"January 10, 2017",1987,TV-Y7,3 Seasons,"British TV Shows, Reality TV, Docuseries",Description for Show Title 111.
s112,Movie,Movie Title 112,Alfonso Cuarón,"Actor A, Actor B, Actor C","United States, France","July 17, 2016",1997,PG-13,123 min,"International Movies, Music & Musicals, Stand-Up Comedy",Description for Movie Title 112.
s113,TV Show,Show Title 113,,"Actor A, Actor B, Actor C",Canada,"January 2, 2018",2004,TV-14,3 Seasons,"TV Mysteries, Reality TV",Description for Show Title 113.
s114,Movie,Movie Title 114,Spike Lee,"Actor A, Actor B, Actor C",Japan,"September 18, 2018",2008,TV-G,91 min,"International Movies, Romantic Movies, Dramas",Description for Movie Title 114.
s115,Movie,Movie Title 115,Guillermo del Toro,,United States,"October 19, 2020",2021,R,102 min,Stand-Up Comedy,Description for Movie Title 115.
s116,TV Show,Show Title 116,,"Actor A, Actor B, Actor C","United States, Brazil","April 14, 2017",2000,TV-Y,4 Seasons,"Teen TV Shows, Reality TV, Korean TV Shows",Description for Show Title 116.
s117,Movie,Movie Title 117,David Fincher,"Actor A, Actor B, Actor C",United States,"June 22, 2017",2019,NR,125 min,"Independent Movies, Sports Movies, Anime Features",Description for Movie Title 117.
s118,TV Show,Show Title 118,,"Actor A, Actor B, Actor C",Egypt,"August 11, 2019",2012,TV-14,1 Season,"Teen TV Shows, TV Mysteries, Korean TV Shows",Description for Show Title 118.
s119,TV Show,Show Title 119,,"Actor A, Actor B, Actor C",Spain,"June 15, 2020",1992,TV-14,6 Seasons,"Reality TV, Crime TV Shows, Talk Shows & Variety",Description for Show Title 119.
s120,Movie,Movie Title 120,,"Actor A, Actor B, Actor C",United States,"January 4, 2019",2005,G,135 min,"Romantic Movies, Comedies, Independent Movies",Description for Movie Title 120.
s121,TV Show,Show Title 121,Christopher Nolan,"Actor A, Actor B, Actor C",India,"May 21, 2016",2014,TV-MA,3 Seasons,British TV Shows,Description for Show Title 121.
s122,Movie,Movie Title 122,Jordan Peele,"Actor A, Actor B, Actor C",Australia,"December 28, 2018",1999,R,84 min,Dramas,Description for Movie Title 122.
s123,Movie,Movie Title 123,Jordan Peele,"Actor A, Actor B, Actor C",Australia,"February 11, 2015",2002,G,128 min,"Independent Movies, International Movies",Description for Movie Title 123.
s124,Movie,Movie Title 124,Steven Spielberg,"Actor A, Actor B, Actor C",Germany,"February 13, 2018",2016,TV-MA,102 min,Action & Adventure,Description for Movie Title 124.
s125,TV Show,Show Title 125,,"Actor A, Actor B, Actor C",United States,"December 8, 2019",1957,TV-MA,2 Seasons,Reality TV,Description for Show Title 125.
s126,Movie,Movie Title 126,,"Actor A, Actor B, Actor C",Japan,"March 16, 2015",1997,TV-MA,126 min,"Stand-Up Comedy, Thrillers, Horror Movies",Description for Movie Title 126.
s127,Movie,Movie Title 127,David Fincher,"Actor A, Actor B, Actor C",Japan,"June 3, 2018",2005,TV-MA,144 min,Dramas,Description for Movie Title 127.
s128,Movie,Movie Title 128,,"Actor A, Actor B, Actor C",United States,"September 15, 2013",2007,R,96 min,"Action & Adventure, Children & Family Movies",Description for Movie Title 128.
s129,Movie,Movie Title 129,Ridley Scott,"Actor A, Actor B, Actor C",,"June 23, 2012",2007,UR,156 min,Sports Movies,Description for Movie Title 129.
s130,TV Show,Show Title 130,,"Actor A, Actor B, Actor C",Nigeria,"July 15, 2021",2000,TV-MA,4 Seasons,"Anime Series, TV Dramas",Description for Show Title 130.
s131,TV Show,Show Title 131,James Cameron,"Actor A, Actor B, Actor C",India,"January 10, 2020",2021,TV-14,2 Seasons,"TV Action & Adventure, Anime Series, Teen TV Shows",Description for Show Title 131.
s132,TV Show,Show Title 132,Christopher Nolan,"Actor A, Actor B, Actor C",United States,"January 8, 2020",2000,TV-MA,1 Season,TV Thrillers,Description for Show Title 132.
s133,Movie,Movie Title 133,Ava DuVernay,"Actor A, Actor B, Actor C",Canada,"April 27, 2021",1980,TV-14,135 min,"Thrillers, Stand-Up Comedy, Music & Musicals",Description for Movie Title 133.
s134,Movie,Movie Title 134,Spike Lee,"Actor A, Actor B, Actor C","United States, Canada","August 2, 2017",2009,TV-PG,106 min,"Independent Movies, Horror Movies, Anime Features",Description for Movie Title 134.
s135,Movie,Movie Title 135,David Fincher,"Actor A, Actor B, Actor C",Germany,"January 18, 2020",2012,PG-13,64 min,"Children & Family Movies, Sports Movies",Description for Movie Title 135.
s136,Movie,Movie Title 136,,"Actor A, Actor B, Actor C",United Kingdom,"October 20, 2017",1968,R,140 min,Documentaries,Description for Movie Title 136.
s137,Movie,Movie Title 137,Ava DuVernay,"Actor A, Actor B, Actor C",Brazil,"December 25, 2020",1985,PG-13,115 min,Sci-Fi & Fantasy,Description for Movie Title 137.
s138,Movie,Movie Title 138,Jordan Peele,"Actor A, Actor B, Actor C",India,"February 26, 2018",2004,PG-13,86 min,"Anime Features, Music & Musicals",Description for Movie Title 138.
s139,Movie,Movie Title 139,Jordan Peele,"Actor A, Actor B, Actor C",United States,"March 7, 2017",2007,R,78 min,"Stand-Up Comedy, Music & Musicals",Description for Movie Title 139.
s140,Movie,Movie Title 140,Christopher Nolan,"Actor A, Actor B, Actor C",India,"December 18, 2015",2015,TV-14,47 min,"Independent Movies, Dramas, Children & Family Movies",Description for Movie Title 140.
s141,Movie,Movie Title 141,Spike Lee,"Actor A, Actor B, Actor C",,"November 22, 2012",2002,R,43 min,"Independent Movies, Romantic Movies",Description for Movie Title 141.
s142,TV Show,Show Title 142,Denis Villeneuve,"Actor A, Actor B, Actor C",United States,"March 4, 2020",2011,TV-14,3 Seasons,"TV Comedies, Crime TV Shows, Talk Shows & Variety",Description for Show Title 142.
s143,Movie,Movie Title 143,Ridley Scott,"Actor A, Actor B, Actor C",United Kingdom,"February 21, 2019",1988,,95 min,"Anime Features, Dramas, Comedies",Description for Movie Title 143.
s144,Movie,Movie Title 144,,"Actor A, Actor B, Actor C",India,"February 17, 2021",2007,TV-PG,158 min,Documentaries,Description for Movie Title 144.
s145,TV Show,Show Title 145,Greta Gerwig,"Actor A, Actor B, Actor C",Brazil,"June 1, 2021",1964,NR,6 Seasons,"TV Comedies, TV Mysteries, Korean TV Shows",Description for Show Title 145.
s146,Movie,Movie Title 146,Jordan Peele,"Actor A, Actor B, Actor C",Brazil,"December 24, 2014",2014,TV-14,98 min,"Thrillers, Dramas, Comedies",Description for Movie Title 146.
s147,TV Show,Show Title 147,Bong Joon-ho,"Actor A, Actor B, Actor C",United States,"April 12, 2018",2015,TV-MA,4 Seasons,"Anime Series, TV Comedies",Description for Show Title 147.
s148,Movie,Movie Title 148,Ryan Coogler,"Actor A, Actor B, Actor C",United States,"July 11, 2014",2015,R,168 min,Dramas,Description for Movie Title 148.
s149,Movie,Movie Title 149,,"Actor A, Actor B, Actor C",United Kingdom,"October 20, 2018",1974,TV-14,96 min,"Dramas, International Movies",Description for Movie Title 149.
s150,Movie,Movie Title 150,Ava DuVernay,"Actor A, Actor B, Actor C",India,"February 6, 2018",1993,R,137 min,"International Movies, Romantic Movies",Description for Movie Title 150.
s151,Movie,Movie Title 151,David Fincher,"Actor A, Actor B, Actor C","United States, Italy","June 15, 2019",1995,TV-MA,86 min,"Stand-Up Comedy, Action & Adventure, International Movies",Description for Movie Title 151.
s152,Movie,Movie Title 152,,,Canada,"June 13, 2020",2021,PG-13,165 min,"Thrillers, Comedies",Description for Movie Title 152.
s153,TV Show,Show Title 153,Ryan Coogler,"Actor A, Actor B, Actor C",Italy,"February 27, 2020",2015,TV-14,1 Season,"British TV Shows, Reality TV",Description for Show Title 153.
s154,Movie,Movie Title 154,Bong Joon-ho,"Actor A, Actor B, Actor C",Argentina,"December 14, 2018",1999,NR,108 min,"Sci-Fi & Fantasy, Anime Features",Description for Movie Title 154.
s155,Movie,Movie Title 155,,"Actor A, Actor B, Actor C",Japan,"June 26, 2019",2010,R,80 min,Comedies,Description for Movie Title 155.
